ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2037,19.044159,23.586588,25.528503,18.312723,18.823538,23.706024,1452.2344227181748,708.8071919046342,411.7510530457366,957.9180527944118,422.9532891215058,1180.8537617675029,,
2038,19.090006,23.493591,24.53895,19.618124,18.86312,23.539907,502.97447775956243,950.0275101978332,956.6729095531628,556.2300412799232,852.2481305175461,766.0919923335314,,
2039,20.065073,23.856375,24.14853,19.469238,18.443247,23.458994,622.6558926980942,936.8846619268879,531.3462161575444,674.0808400791138,616.0343358758837,786.916074086912,,
2040,18.375967,23.537222,24.627096,19.393341,19.794098,22.842916,742.5741663901135,844.3411416839808,808.4449347574264,878.9716569241136,826.7335369018838,909.5595973427407,,
2041,20.475891,24.648651,24.879547,18.652304,20.296997,24.564707,424.6045854699332,943.3597600786015,867.8037149598822,739.6254465915263,418.4768078732304,820.3315769322217,,
2042,20.700134,23.454214,23.42221,19.351938,18.801727,23.63259,523.975979781244,604.6898326836526,590.360785543453,871.7642673058435,658.0768023384735,1028.9189076866023,,
2043,19.660217,23.707743,24.440817,18.946482,20.243805,22.9068,713.3372857701033,1428.2868553418666,535.2182653499767,1049.1210797801614,554.9307527253404,1223.2581438263878,,
2044,20.448975,23.721659,24.21522,19.197876,19.978018,23.466074,738.2363460492343,1372.2271381644532,1101.9052093382925,999.3103945394978,1015.6780870165676,817.0694290660322,,
2045,19.158508,23.078714,23.759806,19.580963,19.43216,24.022003,575.4826196003705,792.0854023774154,1175.392656493932,768.660853500478,791.7344653978944,728.346500149928,,
2046,19.068888,23.577606,23.297964,18.96521,19.073364,23.865194,1248.9581465022638,849.058805097593,790.6105219619349,641.3116633775644,836.2219221191481,983.2372821634635,,
2047,20.684265,24.18331,23.823568,21.10435,20.362976,23.678305,540.5863569583744,993.5092076892033,955.3351873531938,925.6169380154461,827.3122163722292,783.8987951399758,,
2048,20.010458,23.792795,23.32786,18.878174,19.471628,24.437988,924.6300267521292,755.1223224028945,554.4765459315386,694.337944232393,833.4978610044345,725.670019746758,,
2049,19.563925,24.93453,24.681345,18.737274,19.959116,24.812723,1335.7699889224023,786.7392340558581,1033.589843614027,1579.138811957091,715.009948820807,793.3260919991881,,
2050,19.53006,24.26059,23.852905,19.971048,21.14266,23.683615,846.3398279738612,913.1754526169971,671.8698451062664,700.8583832415752,1001.2192204361781,879.8097118735313,,
2051,19.811066,23.350058,23.543833,19.749796,20.504883,23.87387,742.1176454052329,1074.4486499810591,687.4073658138514,772.6207658881322,809.7684571752325,1054.1888951556757,,
2052,18.352173,23.907663,23.778198,19.085358,18.665314,24.278818,411.7160660913214,550.0861991895363,905.6025669677183,1032.1257035597228,683.5997723042965,680.6222160346806,,
2053,19.800882,24.680319,23.256348,18.72938,20.136435,23.532999,509.3181719770655,663.4303606697358,852.7404706226662,744.1213058307767,690.9474460640922,660.9717568382621,,
2054,19.260416,23.928946,24.474304,19.074167,20.435446,24.352377,1074.1901432862505,1361.1294558271766,586.1703262897208,710.6401563389227,819.1630891291425,429.3562194798142,,
2055,20.06723,24.532532,23.907785,19.77659,21.248138,24.889404,851.1379182105884,931.9014492910355,1078.0078918905929,809.880654187873,643.1511270347983,469.8315745219588,,
2056,21.076548,24.612558,23.45098,20.705332,19.524445,24.739288,1000.2647540532053,1545.7829126156867,781.6019288264215,758.7198021356016,887.5839379616082,660.4050046065822,,
2057,18.738932,23.831238,24.74462,20.339834,21.22406,23.947296,1068.5578362783417,938.7207566876896,316.53101656702347,713.6320180026814,814.5000662421808,897.2705732099712,,
2058,20.089243,23.906067,24.317148,19.579712,21.400574,23.069458,905.4642353905365,972.9295186582021,1183.4956577047706,1094.629847095348,1003.9839270757511,955.2087773568928,,
2059,20.812866,24.217966,23.94753,20.142405,20.973135,23.850677,601.233533222694,356.83552112895995,966.7293904116377,786.4545069867745,894.4171748240478,876.1510972632095,,
2060,21.146414,24.9098,24.491385,19.834818,21.632223,24.18876,293.08728732867166,968.7702407129109,809.4799566781148,908.9130411157385,642.1596725704148,870.3033279860392,,
2061,19.703531,24.15384,24.361399,21.0371,20.181742,23.944803,750.65645853756,1296.84636304155,1536.0726127400994,976.4118263265118,800.7060981122777,627.6417267741635,,
