ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2084,26.477875,22.541626,26.343994,26.523315,21.014435,24.739197,27.779785,28.762695,24.866943,81.16568421246484,187.97075569164008,163.17491739755496,137.37689454574138,92.35705930623226,76.11134573235177,,
2085,27.286652,22.023712,27.109589,26.125977,20.927765,23.791168,27.412476,28.920807,25.241516,145.72990980232134,156.05728277005255,113.00024874508381,164.9846846004948,105.9807159123011,119.94303980609402,,
2086,26.475006,20.352875,27.312103,26.579224,21.387299,23.43454,27.94757,28.937988,25.20874,84.30851686571259,70.18361519440077,160.01228367676958,124.27510274865199,166.88030522782356,74.75043227314018,,
2087,26.80896,20.926239,27.295868,25.156647,20.585419,23.437653,27.860535,28.731445,24.84018,120.55576614802703,211.0316813690588,121.20305401040241,205.52039102185518,103.7624191492796,83.44667315832339,,
2088,28.115814,22.788239,27.753723,25.034851,22.010956,23.703064,27.391815,28.719757,25.07019,176.7150635307189,163.79888984374702,186.31930985720828,71.14626304828562,124.08400549320504,155.85264656692743,,
2089,27.152344,22.276276,27.640472,25.963806,21.909332,23.622253,28.684631,29.443726,24.981812,95.87040458573028,134.71164411166683,204.47258931817487,157.03523755073547,115.71665613446385,189.87814744468778,,
2090,27.034637,23.01596,27.315308,25.997528,21.22055,23.907135,28.264862,29.556366,25.188568,140.83383778925054,262.90838504210114,293.6840843874961,182.6166950748302,120.93394965631887,174.68918315134943,,
2091,27.287079,21.653717,27.82846,25.236755,20.198273,24.058167,27.905182,30.392853,24.362549,127.12143285898492,126.20058628963307,89.50608585728332,140.80524077871814,210.17924454063177,109.08036476466805,,
2092,27.281952,22.770966,27.762115,25.563873,20.446594,23.533295,28.468323,29.02008,24.626068,124.49945656699128,217.9997995030135,206.83140051551163,173.31111717503518,156.36497106752358,64.1302309173625,,
2093,27.953674,21.429138,27.90039,25.373016,20.10788,24.36319,28.403046,29.581543,24.952087,193.7086138059385,195.72810785612091,218.04160204483196,187.47253777692094,137.88479072973132,121.51082492200658,,
2094,27.820374,21.895447,28.986511,25.190918,20.896942,24.873413,27.978363,29.08609,25.14621,97.6348924334161,184.1454911394976,194.06942802015692,80.55846944334917,106.52530990191735,154.777288204059,,
2095,27.634796,22.036896,27.762177,26.495392,21.89917,24.095734,28.430603,29.344666,24.806763,63.93299829214811,79.01942283497192,116.48149772663601,74.49658177793026,152.90222503244877,160.97024824703112,,
2096,27.130402,22.003204,27.32727,26.06253,20.035065,24.80075,28.423615,30.295776,23.895721,70.35284477169625,122.57895064540207,89.05516335507855,192.77214682660997,92.4839022802189,132.94106827815995,,
2097,28.104248,22.665192,27.397156,26.714172,20.93039,24.00592,28.027527,29.854828,24.415466,187.0270198211074,107.38280976656824,166.76222443347797,183.09279492823407,67.40642884396948,119.61688109440729,,
2098,26.573517,21.171417,27.786835,25.805511,20.084808,24.491241,28.106812,29.631195,26.333038,216.2321335519664,143.21211941423826,193.38207109831274,102.4191192118451,106.94283355842344,128.15633680438623,,
2099,26.74649,22.507599,26.4292,25.25418,20.218658,25.318878,28.447968,29.631104,26.118713,93.53540145093575,133.64232202875428,165.21183920558542,108.87344040675089,108.57571373926476,110.72018626146019,,
2100,27.293457,22.938751,28.023773,26.512543,19.986664,24.463318,27.88379,29.571747,25.261932,111.43084765062667,342.7122747525573,125.47762547910679,253.92238930799067,78.47702039871365,143.06803622748703,,
