,ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
57,2072,18.570713,21.07306,19.180882,17.971697,18.61795,17.958351,178.77095270814607,216.02363518722996,257.026608956221,215.703653636956,155.35564146694014,144.64522616071918
58,2073,18.559513,21.686558,20.260677,17.600931,18.66729,18.033308,164.78132418687892,310.3836829752254,204.8513590472794,149.93729397501738,170.14522837271215,158.40044807719096
59,2074,18.71685,20.858717,19.050337,16.953276,19.234287,18.567139,226.07318870941526,286.85937562040635,215.68755899133976,247.7090836291609,157.32199416779622,159.76125434899586
60,2075,18.652586,20.156729,20.01072,18.749933,19.568943,18.815413,188.7515393056674,283.7096404469776,233.94352404793608,206.89855499767873,228.74125169764739,181.54355660662986
61,2076,18.569149,20.009605,19.277458,17.564707,19.69071,18.294024,136.88836026585705,305.9384486368799,259.92630448308773,210.41571416099032,173.3567904590018,159.63343465191429
62,2077,17.960754,20.764595,18.953209,18.284882,19.149529,19.36976,164.58739804020297,228.6061559421796,196.6542899292108,269.0901800740903,173.0471448157914,167.52236878419353
63,2078,18.82466,21.231638,19.122383,17.955952,19.526783,18.648325,190.35396903636865,238.11791946200174,257.45379263007635,250.4901574964606,176.17336342591443,181.02458852281416
64,2079,18.705765,21.42046,19.276716,17.532179,19.628754,19.03465,237.35643838735996,249.88570943478408,245.4729602639418,188.3408449597482,134.87255171858124,238.59551849382115
65,2080,18.69349,20.794655,19.42355,17.14488,19.890451,19.339523,192.6366392503951,250.74197729554726,290.45675176785153,163.1089740905736,148.55637977861988,119.52677482358922
66,2081,18.989014,21.048882,19.51108,17.904833,19.904118,18.964632,180.8174153080472,285.00548490128494,222.10733279389387,226.8669667213544,179.23721464539994,190.0873806578602
67,2082,18.438297,20.928133,19.263086,17.49609,19.311192,19.470238,190.46053346028202,256.2725639952987,284.4952061956974,197.3288906061498,203.72729661066842,169.98987567239965
68,2083,17.781548,21.352835,19.786146,17.329319,20.539389,18.635628,218.6731626454275,172.18670358633972,261.632816461497,197.21879853168502,179.54033212299692,218.23414957034402
69,2084,18.219013,20.883335,19.721077,17.326271,20.85513,18.315687,154.16101612036073,374.61331220401917,251.3256775602713,224.44525813843939,167.5683127845332,167.60184030499659
70,2085,18.481441,20.644173,19.106203,17.482702,20.150887,18.70912,144.71620865942896,286.53754212136846,267.91274866409367,201.56236101811373,182.45832438951766,168.5681742579618
71,2086,18.230394,21.05915,19.315392,17.900795,19.73415,19.567228,172.13439677470888,268.61016822113015,217.5613705680007,220.2762463446561,160.97994176743669,160.46529976774764
72,2087,18.412453,21.171,19.100332,17.076271,20.221853,17.825676,261.38059361510386,319.6956540014071,217.41968939895742,232.34382707523764,159.8638369498076,190.93672629387584
73,2088,18.735514,21.067888,19.633951,18.194563,19.971876,18.446,189.79745550404914,271.16788058920065,209.34632497701386,208.25582903125905,161.55902216669347,186.87072609827737
74,2089,19.199677,21.504677,19.493591,18.270683,20.674644,19.235388,198.19141382013186,324.22682155920484,244.6345331154589,273.1615787757619,165.60774897006922,187.6525131426206
75,2090,19.137735,21.839401,19.74752,18.204206,20.110426,19.365423,186.9102111137181,257.1566342605365,185.77851163536252,217.33605846893624,200.02061573104584,176.04979407187784
76,2091,18.533678,22.152534,18.750248,17.666525,19.74224,18.114828,213.2677868452447,333.46564925304847,268.3660528251494,219.26928552311438,196.04235636579688,179.66722484597994
77,2092,18.993296,21.725544,19.860891,17.441368,20.445177,18.743786,193.53010003105737,257.1542895049788,297.34956775791943,243.07677150172822,206.30488896986208,169.54891750274328
78,2093,18.443693,22.60658,19.702583,17.46769,20.938639,18.840305,247.22600180102745,243.585447634905,261.6072200396957,252.70956381064025,183.83777985727647,159.0634899224824
79,2094,17.992226,21.64547,19.399641,17.413202,19.927599,18.68792,220.04524785006652,331.6460098445532,219.10610765698948,161.35776334285765,161.6165117087803,170.15092670044396
80,2095,18.226278,22.134445,20.672075,17.495544,20.90731,18.40018,134.50351958608735,264.34114459007105,246.89895779665676,247.87952051156026,192.40177184692584,216.26208424640936
81,2096,19.299194,21.516829,19.519163,16.587276,21.172197,18.755157,222.45235015798244,298.2410912425621,248.40250745437515,225.34942428992508,140.56774855089316,181.4779369079588
82,2097,19.478273,21.422493,19.991106,16.917469,20.71217,19.082684,217.7998643470346,202.92225549983414,181.95005346187827,251.2788842221198,160.17661973392023,166.62151553246076
83,2098,18.593245,21.258545,19.76461,17.022932,20.951988,19.28739,182.1874459150422,295.04576860854286,331.7188008259109,196.36197857689695,151.88066001610423,214.278969825682
84,2099,18.926517,21.777214,19.255997,17.520742,20.579828,19.106298,163.7095668396796,293.10034650079615,244.50420186840347,206.20031074977305,204.7596524869732,201.05024313743343
85,2100,18.5431,22.243576,19.713264,17.364738,21.163788,18.45608,194.14257800453925,358.42044286910095,264.90557215656736,311.17002708597283,138.66076792173772,175.36137529168627
