ano,temp_Amon_TaiESM1_ssp1_2_6,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_Amon_TaiESM1_ssp2_4_5,temp_Amon_TaiESM1_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5
2079,27.489868,23.854462,28.045624,26.249939,23.985168,24.85315,28.303864,28.180328,25.6969,178.61409906327026,154.05490389821352,171.1314499974833,155.49566362897167,113.83456272014882,175.54641579044983
2080,27.291168,24.026276,26.790955,25.933838,22.432709,24.589813,27.336578,29.422821,27.037292,157.5466897997103,174.8292949530878,225.83573187876027,106.81138462387025,136.18418616606505,105.47859297366813
2081,27.552765,23.762604,27.579773,26.46524,22.39621,25.686829,28.665009,29.396942,26.233093,162.13507973297965,239.3058866582578,223.16440804861486,138.70694317884045,151.47791085764766,157.02122257644078
2082,27.749329,23.512238,27.740479,25.9357,22.289917,23.803802,28.682465,29.91623,26.548523,152.1284084126819,172.89845279592555,185.4517933956231,134.8160144436406,188.52526437258348,140.53346164801042
2083,27.450409,23.125519,28.819397,26.963348,23.056427,25.067871,28.54715,29.803833,25.900238,164.18332863540854,113.8433055493806,190.18027516140137,149.2041635356145,153.69263763714116,179.1523359621351
2084,27.739868,23.24533,28.327087,26.542511,22.435883,25.13739,27.779785,29.435638,25.191833,142.03043734305538,229.18974032218102,178.11023927642964,144.2157540412154,133.29445106101048,120.43656075438776
2085,27.58548,23.261719,27.109589,26.125977,21.586182,25.645355,28.213013,28.920807,25.930023,127.0438506246137,150.34635753763723,156.32077279442456,157.32208572590025,155.65690442745108,139.39348924322985
2086,26.591125,22.973541,27.322113,27.5596,23.351562,24.339172,28.549774,29.753113,25.711517,119.97212415226386,152.7908222968108,152.61710524500813,163.28401662249235,149.41052485228283,130.50129832117818
2087,27.807526,23.289276,28.602905,25.968262,22.497284,24.585571,28.652435,29.514008,25.6716,200.39192699769046,217.41125138942152,159.03287561814068,168.7151616148185,144.7766106648487,150.40447236970067
2088,28.115814,23.56186,28.07306,25.487213,22.034882,24.967346,28.48114,28.902527,25.664581,152.36268917433335,182.21531938397675,143.92060480895452,120.65863550378708,120.23519407957792,161.28384868061403
